source,target,weight
query,heap,0.10440959068515294
query,computer,-0.0
query,interface,-0.0
query,core,0.2143846316408441
query,Linux,0.0
query,instruction,0.36357300112725877
query,multiprocessing,0.0
query,source code,0.0
query,recursion,0.0
query,register,0.3846634818453074
query,operating system,0.0
query,computing,0.3179816320260134
query,cipher,0.11062103997060356
software,object,0.08065647060547275
software,variable,0.07703390456859494
software,algorithm,0.0
software,database,0.32494143959426364
software,transaction,0.08781777451120464
software,tree,-0.0
software,boolean,0.0
software,bug,-0.0
software,byte,0.0
software,C,0.07703390456859494
software,Java,-0.0
software,compiler,0.0
software,translator,0.0
software,concurrency,0.06624449589990267
software,code,0.8487783618517956
software,map,0.08327398551459124
software,stack,0.0804657461537633
software,set,0.08033409123874358
software,heap,0.0804657461537633
software,computer,-0.0
software,interface,-0.0
software,core,0.2689999279828206
software,Linux,0.0
software,instruction,0.3149527144532327
software,multiprocessing,0.0
software,source code,0.0
software,recursion,0.0
software,register,0.2906988616266665
software,operating system,0.0
software,computing,0.07485945895764361
software,cipher,0.26107623482357256
object,variable,0.4232636856936604
object,algorithm,0.0
object,database,0.10602973149159335
object,transaction,0.2627795861456455
object,tree,0.29533906374996927
object,boolean,0.0
object,bug,0.1807814050207373
object,byte,0.0
object,C,0.12090956620057211
object,Java,0.13525077341911937
object,compiler,0.0
object,translator,0.20248228812950544
object,concurrency,0.18418099453144285
object,code,0.09601221598797403
object,map,0.21993207203763576
object,stack,0.2642335609854544
object,set,0.34591712523095136
object,heap,0.2887500478064978
object,computer,0.21279366964944968
object,interface,0.20647173926771648
object,core,0.40288374662310195
object,Linux,0.0
object,instruction,0.244402266045778
object,multiprocessing,0.0
object,source code,0.0
object,recursion,0.0
object,register,0.1807814050207373
object,operating system,0.0
object,computing,0.21419351488584332
object,cipher,0.44821379559668184
variable,algorithm,0.0
variable,database,0.09985667905611434
variable,transaction,0.24625729341730052
variable,tree,0.07173819526808607
variable,boolean,0.0
variable,bug,0.055485003205949124
variable,byte,0.0
variable,C,0.0920217139695661
variable,Java,0.06716166591954294
variable,compiler,0.0
variable,translator,0.05919032633475458
variable,concurrency,0.17590877767866736
variable,code,0.09092250556112727
variable,map,0.10106874666211774
variable,stack,0.09696168917615156
variable,set,0.29004630480274424
variable,heap,0.09696168917615156
variable,computer,0.06083017604268475
variable,interface,0.05983349327786962
variable,core,0.38225573535641416
variable,Linux,0.0
variable,instruction,0.2300469955559109
variable,multiprocessing,0.0
variable,source code,0.0
variable,recursion,0.0
variable,register,0.0873894060569145
variable,operating system,0.0
variable,computing,0.20308699454453488
variable,cipher,0.1022959393609362
algorithm,database,0.0
algorithm,transaction,0.0
algorithm,tree,0.0
algorithm,boolean,0.0
algorithm,bug,0.0
algorithm,byte,0.0
algorithm,C,0.0
algorithm,Java,0.0
algorithm,compiler,0.0
algorithm,translator,0.0
algorithm,concurrency,0.0
algorithm,code,0.0
algorithm,map,0.0
algorithm,stack,0.0
algorithm,set,0.0
algorithm,heap,0.0
algorithm,computer,0.0
algorithm,interface,0.0
algorithm,core,0.0
algorithm,Linux,0.0
algorithm,instruction,0.0
algorithm,multiprocessing,0.0
algorithm,source code,0.0
algorithm,recursion,0.0
algorithm,register,0.0
algorithm,operating system,0.0
algorithm,computing,0.0
algorithm,cipher,0.0
database,transaction,0.11876100962175462
database,tree,-0.0
database,boolean,0.0
database,bug,-0.0
database,byte,0.0
database,C,0.09985667905611434
database,Java,-0.0
database,compiler,0.0
database,translator,0.0
database,concurrency,0.08244941128960667
database,code,0.3884492327883233
database,map,0.11059979881593121
database,stack,0.10570037947551741
database,set,0.10547331703579317
database,heap,0.10570037947551741
database,computer,-0.0
database,interface,-0.0
database,core,0.4434344827347445
database,Linux,0.0
database,instruction,0.5427285491148562
database,multiprocessing,0.0
database,source code,0.0
database,recursion,0.0
database,register,0.372139451902577
database,operating system,0.0
database,computing,0.09623323019542185
database,cipher,0.32494143959426364
transaction,tree,-0.0
transaction,boolean,0.0
transaction,bug,-0.0
transaction,byte,0.0
transaction,C,0.1078408996456198
transaction,Java,-0.0
transaction,compiler,0.0
transaction,translator,0.0
transaction,concurrency,0.5098492717299906
transaction,code,0.10633437748691571
transaction,map,0.12047939072922122
transaction,stack,0.11468848738364469
transaction,set,0.3263859805207089
transaction,heap,0.11468848738364469
transaction,computer,-0.0
transaction,interface,-0.0
transaction,core,0.23317598941552406
transaction,Linux,0.0
transaction,instruction,0.4010284724134955
transaction,multiprocessing,0.0
transaction,source code,0.0
transaction,recursion,0.0
transaction,register,0.101533625472361
transaction,operating system,0.0
transaction,computing,0.34626698143467616
transaction,cipher,0.12222729829741176
tree,boolean,0.0
tree,bug,0.19693507232205312
tree,byte,0.0
tree,C,0.07805584611066595
tree,Java,0.08379160994704282
tree,compiler,0.0
tree,translator,0.21287451936648072
tree,concurrency,-0.0
tree,code,-0.0
tree,map,0.168963661788071
tree,stack,-0.0
tree,set,0.17532025585299868
tree,heap,-0.0
tree,computer,0.16532629425340586
tree,interface,0.1383275736627833
tree,core,0.14794993333781561
tree,Linux,0.0
tree,instruction,-0.0
tree,multiprocessing,0.0
tree,source code,0.0
tree,recursion,0.0
tree,register,0.14794993333781561
tree,operating system,0.0
tree,computing,0.0
tree,cipher,0.19693507232205312
boolean,bug,0.0
boolean,byte,0.0
boolean,C,0.0
boolean,Java,0.0
boolean,compiler,0.0
boolean,translator,0.0
boolean,concurrency,0.0
boolean,code,0.0
boolean,map,0.0
boolean,stack,0.0
boolean,set,0.0
boolean,heap,0.0
boolean,computer,0.0
boolean,interface,0.0
boolean,core,0.0
boolean,Linux,0.0
boolean,instruction,0.0
boolean,multiprocessing,0.0
boolean,source code,0.0
boolean,recursion,0.0
boolean,register,0.0
boolean,operating system,0.0
boolean,computing,0.0
boolean,cipher,0.0
bug,byte,0.0
bug,C,0.05919032633475458
bug,Java,0.06243100800120633
bug,compiler,0.0
bug,translator,0.1646451147171322
bug,concurrency,-0.0
bug,code,-0.0
bug,map,0.12903052386827224
bug,stack,-0.0
bug,set,0.13270485542763105
bug,heap,-0.0
bug,computer,0.12689845737442304
bug,interface,0.10666871238194976
bug,core,0.11640474514160028
bug,Linux,0.0
bug,instruction,-0.0
bug,multiprocessing,0.0
bug,source code,0.0
bug,recursion,0.0
bug,register,0.11640474514160028
bug,operating system,0.0
bug,computing,0.0
bug,cipher,0.15494550342748856
byte,C,0.0
byte,Java,0.0
byte,compiler,0.0
byte,translator,0.0
byte,concurrency,0.0
byte,code,0.0
byte,map,0.0
